Number,Created,Domain,Description,short_description,cleaned_short_description,Impact,change_request,Incidents,Subgroups
INCB8033898,2022-01-19 13:50:43,MT,fhl-xa04 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl-xa04 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl xa04 win service wmi x4 critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,FHL Service
INCB8035149,2022-01-19 19:01:33,BE,"Hi Team,

Backup has been failing for the server ""AXSLN891"" due to writers issue. Kindly check the writers status and update us.","Hi Team,

Backup has been failing for the server ""AXSLN891"" due to writers issue. Kindly check the writers status and update us.",backup failing server axsln891 due writers issue. kindly check writers status update us.,3 - Medium,Yes,Capacity Incidents,Amex
INCB8038629,2022-01-20 01:57:52,BE,"Creating an incident  to update the routing table on Egan jumpbox (AXEAN804). 

route –P ADD 148.173.254.0 MASK 255.255.255.0 10.11.12.3","Creating an incident  to update the routing table on Egan jumpbox (AXEAN804). 

route –P ADD 148.173.254.0 MASK 255.255.255.0 10.11.12.3",creating incident update routing table egan jumpbox axean804 . route p add .173.254.0 mask .255.255.0 .11.12.3,3 - Medium,Yes,Capacity Incidents,Amex
INCB8054653,2022-01-22 08:00:24,MT,fhl-xa13 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl-xa13 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl xa13 win service wmi x4 critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,FHL Service
INCB8054719,2022-01-22 08:55:38,MT,fhl-xa01 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl-xa01 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl xa01 win service wmi x4 critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,FHL Service
INCB8054762,2022-01-22 10:25:11,MT,mktmprudsbjmp01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmprudsbjmp01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmprudsbjmp01 win service wmi critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,MKTM Service
INCB8055679,2022-01-23 00:51:11,MT,mkhsp2xdptp01 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mkhsp2xdptp01 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mkhsp2xdptp01 win service wmi x4 critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,MKHS Service
INCB8059904,2022-01-24 18:46:15,MT,awtmprdvopsrh01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),awtmprdvopsrh01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),awtmprdvopsrh01 win service wmi critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,AWTM Service
INCB8061130,2022-01-24 20:54:42,CU,"1.when we select weekly some random values are being automatically updating.
2. Unable to update schedules for selected week 
3.updated data is not retained in entry type ","1.when we select weekly some random values are being automatically updating.
2. Unable to update schedules for selected week 
3.updated data is not retained in entry type ",1.when select weekly random values automatically updating. . unable update schedules selected week .updated data retained entry type,3 - Medium,Yes,Capacity Incidents,Access Issues
INCB8064665,2022-01-25 02:48:42,MT,"Affected User Name: DeAnna D. Windham
Affected User Email: DDWINDHAM@world.com
Affected User Phone: 469 525-4729
 Dee Windham, Trainer, reporting her Outlook email is somehow restricted today after a software update.","Affected User Name: DeAnna D. Windham
Affected User Email:  
Affected User Phone:  
 Dee Windham, Trainer, reporting her Outlook email is somehow restricted today after a software update.",deanna d. windham dee windham trainer reporting outlook somehow restricted today software update.,3 - Medium,Yes,Capacity Incidents,Access Issues
INCB8064669,2022-01-25 02:48:45,MT,"Affected User Name: DeAnna D. Windham
Affected User Email: DDWINDHAM@world.com
Affected User Phone: 469 525-4729
 Dee Windham, Trainer, reporting her Outlook email is somehow restricted today after a software update.","Affected User Name: DeAnna D. Windham
Affected User Email:  
Affected User Phone:  
 Dee Windham, Trainer, reporting her Outlook email is somehow restricted today after a software update.",deanna d. windham dee windham trainer reporting outlook somehow restricted today software update.,3 - Medium,Yes,Capacity Incidents,Access Issues
INCB8073335,2022-01-26 03:50:56,MT,fhl-xa03 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl-xa03 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl xa03 win service wmi x4 critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,FHL Service
INCB8073709,2022-01-26 04:57:42,MT,mktmprunfjmp01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmprunfjmp01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmprunfjmp01 win service wmi critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,MKTM Service
INCB8074380,2022-01-26 07:55:29,MT,fhl-xa05 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl-xa05 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl xa05 win service wmi x4 critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,FHL Service
INCB8084595,2022-01-27 20:31:47,MT,"Affected User Name: Nathan T. Tran
Affected User Email: NTTRAN@world.com
Affected User Phone: 405-749-7486
 Nathan Tran will need Visual Studio 2010 Pro installed on his laptop. It was previously requested to be installed on his New Hire Request but was not done.
The install will need the following additions as listed below:
Microsoft Visual Studio 2010
Version 10.0.40219.1 SP1Rel
Microsoft .NET Framework
Version 4.8.04084 SP1Rel
Installed Version: Professional
Microsoft Office Developer Tools 01018-532-2002181-70006
Microsoft Office Developer Tools
Microsoft Visual Basic 2010 01018-532-2002181-70006
Microsoft Visual Basic 2010
Microsoft Visual C# 2010 01018-532-2002181-70006
Microsoft Visual C# 2010
Microsoft Visual C++ 2010 01018-532-2002181-70006
Microsoft Visual C++ 2010
Microsoft Visual F# 2010 01018-532-2002181-70006
Microsoft Visual F# 2010
Microsoft Visual Studio 2010 Team Explorer 01018-532-2002181-70006
Microsoft Visual Studio 2010 Team Explorer
Microsoft Visual Studio Tools for Applications 3.0 01018-532-2002181-70006
Microsoft Visual Studio Tools for Applications 3.0
Microsoft Visual Web Developer 2010 01018-532-2002181-70006
Microsoft Visual Web Developer 2010
Critical Update for Microsoft Visual Studio 2010 Professional - ENU (KB2938807) KB2938807
This critical update is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this critical update will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/2938807.
Crystal Reports Templates for Microsoft Visual Studio 2010 
Crystal Reports Templates for Microsoft Visual Studio 2010
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB2529927) KB2529927
This hotfix is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/2529927.
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB2548139) KB2548139
This hotfix is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/2548139.
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB2549864) KB2549864
This hotfix is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/2549864.
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB2565057) KB2565057
This hotfix is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/2565057.
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB2635973) KB2635973
This hotfix is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/2635973.
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB3002340) KB3002340
This hotfix is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/3002340.
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB4091346) KB4091346
This hotfix is for Microsoft Visual Studio 2010 Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/4091346.
Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB4336919) KB4336919
This hotfix is for","Affected User Name: Nathan T. Tran
Affected User Email:  
Affected User Phone:  
 Nathan Tran will need Visual Studio  Pro installed on his laptop. It was previously requested to be installed on his New Hire Request but was not done.
The install will need the following additions as listed below:
Microsoft Visual Studio 
Version 10.0.9.1 SP1Rel
Microsoft .NET Framework
Version 4.8.4 SP1Rel
Installed Version: Professional
Microsoft Office Developer Tools 01  6
Microsoft Office Developer Tools
Microsoft Visual Basic 2 8- -6
Microsoft Visual Basic 
Microsoft Visual C# 2 8- -6
Microsoft Visual C# 
Microsoft Visual C++ 2 8- -6
Microsoft Visual C++ 
Microsoft Visual F# 2 8- -6
Microsoft Visual F# 
Microsoft Visual Studio  Team Explorer 01  6
Microsoft Visual Studio  Team Explorer
Microsoft Visual Studio Tools for Applications 3.0 01  6
Microsoft Visual Studio Tools for Applications 3.0
Microsoft Visual Web Developer 2 8- -6
Microsoft Visual Web Developer 
Critical Update for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This critical update is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this critical update will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Crystal Reports Templates for Microsoft Visual Studio  
Crystal Reports Templates for Microsoft Visual Studio 
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for Microsoft Visual Studio  Professional - ENU.
If you later install a more recent service pack, this hotfix will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/ .
Hotfix for Microsoft Visual Studio  Professional - ENU (KB ) KB 
This hotfix is for",nathan t. tran nathan tran need visual studio pro installed laptop. previously requested installed new hire request done. install need additions listed microsoft visual studio version .0.9.1 sp1rel microsoft .net framework version .8.4 sp1rel installed version professional microsoft developer tools microsoft developer tools microsoft visual basic microsoft visual basic microsoft visual c microsoft visual c microsoft visual c microsoft visual c microsoft visual f microsoft visual f microsoft visual studio explorer microsoft visual studio explorer microsoft visual studio tools applications .0 microsoft visual studio tools applications .0 microsoft visual web developer microsoft visual web developer critical update microsoft visual studio professional enu kb kb critical update microsoft visual studio professional enu. later install recent service pack critical update uninstalled automatically. information visit http support.microsoft.com kb . crystal reports templates microsoft visual studio crystal reports templates microsoft visual studio hotfix microsoft visual studio professional enu kb kb hotfix microsoft visual studio professional enu. later install recent service pack hotfix uninstalled automatically. information visit http support.microsoft.com kb . hotfix microsoft visual studio professional enu kb kb hotfix microsoft visual studio professional enu. later install recent service pack hotfix uninstalled automatically. information visit http support.microsoft.com kb . hotfix microsoft visual studio professional enu kb kb hotfix microsoft visual studio professional enu. later install recent service pack hotfix uninstalled automatically. information visit http support.microsoft.com kb . hotfix microsoft visual studio professional enu kb kb hotfix microsoft visual studio professional enu. later install recent service pack hotfix uninstalled automatically. information visit http support.microsoft.com kb . hotfix microsoft visual studio professional enu kb kb hotfix microsoft visual studio professional enu. later install recent service pack hotfix uninstalled automatically. information visit http support.microsoft.com kb . hotfix microsoft visual studio professional enu kb kb hotfix microsoft visual studio professional enu. later install recent service pack hotfix uninstalled automatically. information visit http support.microsoft.com kb . hotfix microsoft visual studio professional enu kb kb hotfix microsoft visual studio professional enu. later install recent service pack hotfix uninstalled automatically. information visit http support.microsoft.com kb . hotfix microsoft visual studio professional enu kb kb hotfix,3 - Medium,Yes,Capacity Incidents,Access Issues
INCB8084843,2022-01-27 21:04:24,BE,"Hi Team,

Backup has been failing for below server due to writers issue. Kindly check the writer status and update us.

AXSLN795
AXSLN808
AXSLN809","Hi Team,

Backup has been failing for below server due to writers issue. Kindly check the writer status and update us.

AXSLN795
AXSLN808
AXSLN809",backup failing server due writers issue. kindly check writer status update us. axsln795 axsln808 axsln809,3 - Medium,Yes,Capacity Incidents,Amex
INCB8088825,2022-01-28 06:01:50,MT,mktmprtfsbld04 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmprtfsbld04 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmprtfsbld04 win service wmi critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,MKTM Service
INCB8089403,2022-01-28 09:27:09,MT,mktmpruwljmp01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmpruwljmp01 - win_service_wmi - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),mktmpruwljmp01 win service wmi critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,MKTM Service
INCB8089540,2022-01-28 10:42:43,MT,fhl-xa02 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl-xa02 - win_service_wmi_3x4 - CRITICAL - Microsoft Edge Update Service (edgeupdate) (edgeupdate),fhl xa02 win service wmi x4 critical microsoft edge update service edgeupdate edgeupdate,3 - Medium,Yes,Capacity Incidents,FHL Service
